ball_1,ball_2,ball_3,ball_4,ball_5,power_ball,Count
3,43,45,61,65,14,2
10,24,27,35,53,18,1
6,13,38,39,53,6,1
27,32,34,43,52,13,1
4,23,37,61,67,7,1
17,54,56,63,69,20,1
11,14,31,47,48,4,1
3,4,6,48,53,10,1
28,31,40,41,46,4,1
8,12,18,44,51,18,1
2,57,58,60,65,26,1
51,54,57,60,69,11,1
4,5,17,43,52,5,1
7,15,18,32,45,20,1
13,15,17,45,63,13,1
14,16,37,48,58,18,1
23,32,33,45,49,14,1
2,6,40,42,55,24,1
11,28,37,40,53,13,1
18,20,27,45,65,6,1
1,3,13,44,56,26,1
6,10,31,37,44,23,1
21,37,52,53,58,5,1
5,18,23,40,50,18,1
6,24,30,53,56,19,1
18,31,36,43,47,20,1
14,18,36,49,67,18,1
11,21,27,36,62,24,1
8,17,49,52,59,1,1
11,14,23,47,57,14,1
10,17,31,51,53,1,1
16,17,20,53,67,4,1
27,52,55,60,64,21,1
15,21,22,27,47,7,1
1,4,11,20,69,18,1
5,21,22,29,43,10,1
8,12,19,47,58,2,1
19,30,36,42,66,14,1
13,23,47,55,58,23,1
5,12,34,45,56,3,1
2,6,18,36,37,21,1
2,3,14,40,51,24,1
7,14,17,57,65,24,1
6,25,36,43,48,24,1
7,29,35,40,45,26,1
5,21,36,61,62,18,1
16,25,36,44,55,14,1
13,16,32,58,59,9,1
27,47,61,62,69,4,1
14,19,61,62,64,4,1
3,10,34,36,62,5,1
16,21,27,60,61,6,1
15,28,52,53,63,18,1
9,36,49,56,62,8,1
15,22,27,33,46,23,1
10,31,41,63,67,5,1
7,10,63,64,68,10,1
2,12,32,50,65,5,1
10,33,41,52,54,18,1
1,17,38,68,69,18,1
1,3,26,41,64,17,1
13,32,41,58,60,14,1
38,58,59,64,68,21,1
2,8,18,21,23,16,1
18,34,40,42,50,9,1
8,12,26,39,42,11,1
39,53,54,56,57,20,1
12,18,42,48,65,19,1
7,8,35,50,65,20,1
13,16,33,58,68,24,1
2,20,49,61,67,20,1
1,3,21,47,57,18,1
1,33,35,40,69,24,1
4,44,46,56,63,19,1
10,12,33,36,41,2,1
22,29,30,42,47,17,1
2,37,39,48,54,5,1
8,31,39,40,43,4,1
33,35,45,48,60,16,1
7,40,48,55,66,11,1
5,9,27,39,42,16,1
2,23,40,59,69,13,1
15,27,44,59,63,8,1
9,23,26,30,32,8,1
4,29,49,50,67,2,1
7,15,21,33,62,23,1
18,43,58,60,68,14,1
24,44,46,50,51,13,1
8,27,29,36,47,24,1
25,37,39,61,62,11,1
10,12,15,19,56,19,1
16,32,35,36,46,3,1
14,47,54,55,68,25,1
35,49,50,59,66,6,1
23,30,35,41,57,2,1
12,33,54,57,60,13,1
9,12,15,31,60,2,1
2,9,17,36,67,18,1
11,33,44,59,67,8,1
20,24,38,56,68,18,1
39,41,53,55,68,19,1
3,21,23,31,59,3,1
2,4,7,43,56,22,1
1,11,21,25,54,7,1
49,53,57,59,62,26,1
2,6,9,33,39,11,1
36,38,45,62,64,19,1
27,29,45,55,58,2,1
7,16,19,48,68,15,1
2,13,23,34,66,2,1
2,6,24,51,61,1,1
19,20,40,42,59,15,1
10,30,37,53,59,4,1
3,25,44,53,64,10,1
3,7,33,50,69,24,1
3,21,38,50,59,6,1
10,40,45,56,67,2,1
12,15,38,57,63,24,1
18,26,28,38,47,17,1
8,32,55,64,66,10,1
10,16,32,63,65,17,1
7,20,29,38,67,22,1
40,43,48,59,69,19,1
3,16,48,52,60,1,1
5,31,34,51,53,23,1
8,15,26,35,45,9,1
19,25,43,46,48,14,1
21,46,47,57,62,8,1
8,30,48,57,64,9,1
1,2,24,50,57,26,1
9,25,34,44,45,8,1
5,23,28,43,56,19,1
3,6,26,35,51,17,1
10,27,29,44,58,24,1
10,30,51,57,63,20,1
7,29,36,41,43,5,1
30,32,48,53,63,12,1
30,31,41,42,48,3,1
23,29,47,59,60,15,1
11,20,33,39,65,24,1
12,17,30,45,62,5,1
1,17,52,58,64,1,1
12,22,54,66,69,15,1
28,38,42,47,52,1,1
2,7,11,17,32,11,1
21,22,39,44,60,12,1
22,23,37,62,63,19,1
20,40,47,55,63,5,1
37,51,54,58,60,19,1
5,36,39,45,57,11,1
1,4,18,46,62,25,1
37,40,50,61,63,21,1
20,31,38,40,49,21,1
9,22,41,47,61,21,1
11,20,22,33,54,24,1
32,35,40,52,54,1,1
10,20,29,48,51,17,1
3,15,45,51,61,8,1
12,22,26,46,59,26,1
27,39,54,56,59,24,1
17,36,47,60,61,15,1
16,28,36,39,59,4,1
35,36,51,55,61,26,1
6,21,49,65,67,18,1
12,18,20,29,30,16,1
7,24,36,54,60,23,1
5,21,32,36,58,14,1
1,21,22,34,47,4,1
25,30,53,59,60,5,1
1,4,11,59,67,10,1
27,28,44,67,68,11,1
15,22,38,54,66,3,1
33,46,52,59,62,10,1
1,5,29,54,62,3,1
8,21,30,49,57,8,1
26,40,41,55,65,24,1
24,29,50,65,66,14,1
8,31,39,43,60,17,1
13,20,40,51,63,1,1
4,22,35,38,39,20,1
19,29,34,44,50,25,1
8,25,34,38,41,10,1
19,28,46,50,54,9,1
44,52,54,64,69,26,1
6,7,11,66,67,19,1
11,13,22,27,46,20,1
2,8,21,34,62,16,1
3,19,27,37,40,8,1
11,13,55,56,69,4,1
4,10,37,39,69,24,1
1,19,20,38,54,17,1
12,17,20,21,26,8,1
16,23,28,40,63,1,1
